Mc_Index,Mc_St
PM9VB009,2021/9/22 00:00
PM6VD008,2021/9/22 00:00
PM6VD007,2021/9/22 00:00
PM9VB004,2021/9/22 00:00
PM9VB005,2021/9/22 00:00
PM6VD004,2021/9/22 00:00
PM7VG002,2021/9/22 00:00
PM9VB006,2021/9/22 00:00
PM6VD003,2021/9/22 00:00
PM9VB007,2021/9/22 00:00
PM6VD002,2021/9/22 00:00
PM6VD001,2021/9/22 00:00
PM9VB001,2021/9/22 00:00
PM9VB002,2021/9/22 00:00
PM9VG016,2021/9/22 00:00
PM9VB003,2021/9/22 00:00
PM9VG014,2021/9/22 00:00
PM9VG015,2021/9/22 00:00
PM9VG012,2021/9/22 00:00
PM9VG013,2021/9/22 00:00
PM7VG004,2021/9/22 00:00
PM9VG010,2021/9/22 00:00
PM7VG003,2021/9/22 00:00
PM9VG011,2021/9/22 00:00
PM7VG006,2021/9/22 00:00
PM7VG005,2021/9/22 00:00
PM8VE003,2021/9/22 00:00
PM8VE002,2021/9/22 00:00
PM6VI010,2021/9/22 00:00
PM7VB006,2021/9/22 00:00
PM8VE004,2021/9/22 00:00
PM8VE001,2021/9/22 00:00
PM9VG009,2021/9/22 00:00
PM9VG007,2021/9/22 00:00
PM9VG008,2021/9/22 00:00
PM9VG005,2021/9/22 00:00
PM9VG006,2021/9/22 00:00
PM7VB001,2021/9/22 00:00
PM9VG003,2021/9/22 00:00
PM9VG004,2021/9/22 00:00
PM9VG001,2021/9/22 00:00
PM9VG002,2021/9/22 00:00
PM7VB005,2021/9/22 00:00
PM7VB004,2021/9/22 00:00
PM7VB003,2021/9/22 00:00
PM7VB002,2021/9/22 00:00
PM6VJ010,2021/9/22 00:00
PM9VH006,2021/9/22 00:00
PM9VH005,2021/9/22 00:00
PM9VR003,2021/9/22 00:00
PM9VH004,2021/9/22 00:00
PM9VR002,2021/9/22 00:00
PM9VH003,2021/9/22 00:00
PM9VR001,2021/9/22 00:00
PM9VH002,2021/9/22 00:00
PM9VH001,2021/9/22 00:00
PM9VR007,2021/9/22 00:00
PM9VR006,2021/9/22 00:00
PM9VR005,2021/9/22 00:00
PM9VR004,2021/9/22 00:00
PM9VR009,2021/9/22 00:00
PM9VR008,2021/9/22 00:00
PM2VC001,2021/9/22 00:00
PM6VJ008,2021/9/22 00:00
PM6VJ007,2021/9/22 00:00
PM6VJ009,2021/9/22 00:00
PM6VE009,2021/9/22 00:00
PM6VE008,2021/9/22 00:00
PM6VE007,2021/9/22 00:00
PM9VR010,2021/9/22 00:00
PM2VC005,2021/9/22 00:00
PM9VR014,2021/9/22 00:00
PM2VC004,2021/9/22 00:00
PM9VR013,2021/9/22 00:00
PM2VC003,2021/9/22 00:00
PM9VR012,2021/9/22 00:00
PM2VC002,2021/9/22 00:00
PM9VR011,2021/9/22 00:00
PM2VC009,2021/9/22 00:00
PM9VR018,2021/9/22 00:00
PM2VC008,2021/9/22 00:00
PM9VR017,2021/9/22 00:00
PM2VC007,2021/9/22 00:00
PM9VR016,2021/9/22 00:00
PM2VC006,2021/9/22 00:00
PM9VR015,2021/9/22 00:00
PM8VF004,2021/9/22 00:00
PM7VC009,2021/9/22 00:00
PM8VF003,2021/9/22 00:00
PM9VQ009,2021/9/22 00:00
PM9VQ008,2021/9/22 00:00
PM9VQ007,2021/9/22 00:00
PM8VF002,2021/9/22 00:00
PM8VF001,2021/9/22 00:00
PM9VF008,2021/9/22 00:00
PM9VF009,2021/9/22 00:00
PM9VF004,2021/9/22 00:00
PM9VF005,2021/9/22 00:00
PM2VB003,2021/9/22 00:00
PM7VC002,2021/9/22 00:00
PM9VF002,2021/9/22 00:00
PM9VQ013,2021/9/22 00:00
PM2VB004,2021/9/22 00:00
PM7VC001,2021/9/22 00:00
PM9VF003,2021/9/22 00:00
PM9VQ012,2021/9/22 00:00
PM2VB001,2021/9/22 00:00
PM9VQ011,2021/9/22 00:00
PM2VB002,2021/9/22 00:00
PM9VF001,2021/9/22 00:00
PM9VQ010,2021/9/22 00:00
PM9VQ017,2021/9/22 00:00
PM7VC005,2021/9/22 00:00
PM9VQ016,2021/9/22 00:00
PM2VB005,2021/9/22 00:00
PM9VQ015,2021/9/22 00:00
PM2VB006,2021/9/22 00:00
PM7VC003,2021/9/22 00:00
PM9VQ014,2021/9/22 00:00
PM9VQ018,2021/9/22 00:00
PM8VA005,2021/9/22 00:00
PM6VC008,2021/9/22 00:00
PM6VC009,2021/9/22 00:00
PM6VC007,2021/9/22 00:00
PM8VA006,2021/9/22 00:00
PM7VC010,2021/9/22 00:00
PM9VE020,2021/9/22 00:00
PM9VK001,2021/9/22 00:00
PM9VK002,2021/9/22 00:00
PM9VP019,2021/9/22 00:00
PM9VK003,2021/9/22 00:00
PM9VP018,2021/9/22 00:00
PM9VK004,2021/9/22 00:00
PM9VP017,2021/9/22 00:00
PM6VI001,2021/9/22 00:00
PM9VK005,2021/9/22 00:00
PM9VK006,2021/9/22 00:00
PM6VI003,2021/9/22 00:00
PM9VK007,2021/9/22 00:00
PM6VI002,2021/9/22 00:00
PM9VK008,2021/9/22 00:00
PM6VI005,2021/9/22 00:00
PM9VK009,2021/9/22 00:00
PM6VI004,2021/9/22 00:00
PM6VI007,2021/9/22 00:00
PM6VI006,2021/9/22 00:00
PM6VI009,2021/9/22 00:00
PM6VI008,2021/9/22 00:00
PM9VA014,2021/9/22 00:00
PM9VA015,2021/9/22 00:00
PM9VA010,2021/9/22 00:00
PM9VA011,2021/9/22 00:00
PM9VA012,2021/9/22 00:00
PM6VC010,2021/9/22 00:00
PM9VA013,2021/9/22 00:00
PM9VP020,2021/9/22 00:00
PM9VF020,2021/9/22 00:00
PM9VK010,2021/9/22 00:00
PM9VK011,2021/9/22 00:00
PM2VG003,2021/9/22 00:00
PM9VK012,2021/9/22 00:00
PM2VG002,2021/9/22 00:00
PM9VK013,2021/9/22 00:00
PM2VG005,2021/9/22 00:00
PM8VG004,2021/9/22 00:00
PM9VK014,2021/9/22 00:00
PM2VG004,2021/9/22 00:00
PM2VG001,2021/9/22 00:00
PM8VG002,2021/9/22 00:00
PM9VA007,2021/9/22 00:00
PM8VG003,2021/9/22 00:00
PM9VA008,2021/9/22 00:00
PM9VA009,2021/9/22 00:00
PM8VG001,2021/9/22 00:00
PM7VH001,2021/9/22 00:00
PM9VA003,2021/9/22 00:00
PM9VA004,2021/9/22 00:00
PM9VA005,2021/9/22 00:00
PM9VF019,2021/9/22 00:00
PM7VH002,2021/9/22 00:00
PM9VA006,2021/9/22 00:00
PM9VA001,2021/9/22 00:00
PM9VA002,2021/9/22 00:00
PM9VQ002,2021/9/22 00:00
PM9VQ001,2021/9/22 00:00
PM7VH005,2021/9/22 00:00
PM9VQ006,2021/9/22 00:00
PM2VG006,2021/9/22 00:00
PM7VH004,2021/9/22 00:00
PM9VF010,2021/9/22 00:00
PM9VQ005,2021/9/22 00:00
PM9VQ004,2021/9/22 00:00
PM7VH006,2021/9/22 00:00
PM9VQ003,2021/9/22 00:00
PM2VF002,2021/9/22 00:00
PM2VF003,2021/9/22 00:00
PM2VF004,2021/9/22 00:00
PM9VJ014,2021/9/22 00:00
PM9VJ015,2021/9/22 00:00
PM9VJ016,2021/9/22 00:00
PM9VJ017,2021/9/22 00:00
PM9VJ018,2021/9/22 00:00
PM6VG002,2021/9/22 00:00
PM8VB006,2021/9/22 00:00
PM9VJ019,2021/9/22 00:00
PM6VG003,2021/9/22 00:00
PM8VB005,2021/9/22 00:00
PM8VB004,2021/9/22 00:00
PM6VG005,2021/9/22 00:00
PM8VB003,2021/9/22 00:00
PM8VB002,2021/9/22 00:00
PM8VB001,2021/9/22 00:00
PM6VA011,2021/9/22 00:00
PM7VD010,2021/9/22 00:00
PM6VA010,2021/9/22 00:00
PM8VB008,2021/9/22 00:00
PM8VB007,2021/9/22 00:00
PM2VF009,2021/9/22 00:00
PM9VP001,2021/9/22 00:00
PM2VF005,2021/9/22 00:00
PM9VP005,2021/9/22 00:00
PM2VF006,2021/9/22 00:00
PM9VP004,2021/9/22 00:00
PM2VF007,2021/9/22 00:00
PM9VJ020,2021/9/22 00:00
PM9VP003,2021/9/22 00:00
PM2VF008,2021/9/22 00:00
PM9VJ021,2021/9/22 00:00
PM9VP002,2021/9/22 00:00
PM2VF012,2021/9/22 00:00
PM9VP009,2021/9/22 00:00
PM2VF013,2021/9/22 00:00
PM9VP008,2021/9/22 00:00
PM9VP007,2021/9/22 00:00
PM9VP006,2021/9/22 00:00
PM2VF010,2021/9/22 00:00
PM2VF011,2021/9/22 00:00
PM7VJ004,2021/9/22 00:00
PM2VA009,2021/9/22 00:00
PM9VD014,2021/9/22 00:00
PM9VD013,2021/9/22 00:00
PM2VA002,2021/9/22 00:00
PM9VD010,2021/9/22 00:00
PM9VP012,2021/9/22 00:00
PM2VA003,2021/9/22 00:00
PM9VP011,2021/9/22 00:00
PM9VD012,2021/9/22 00:00
PM9VP010,2021/9/22 00:00
PM2VA001,2021/9/22 00:00
PM9VD011,2021/9/22 00:00
PM2VA006,2021/9/22 00:00
PM9VP016,2021/9/22 00:00
PM9VP015,2021/9/22 00:00
PM2VA004,2021/9/22 00:00
PM9VP014,2021/9/22 00:00
PM2VA005,2021/9/22 00:00
PM9VI021,2021/9/22 00:00
PM9VP013,2021/9/22 00:00
PM2VE013,2021/9/22 00:00
PM2VE014,2021/9/22 00:00
PM2VE010,2021/9/22 00:00
PM6VB009,2021/9/22 00:00
PM6VB007,2021/9/22 00:00
PM7VI004,2021/9/22 00:00
PM9VE018,2021/9/22 00:00
PM9VE019,2021/9/22 00:00
PM9VE016,2021/9/22 00:00
PM9VE017,2021/9/22 00:00
PM9VE014,2021/9/22 00:00
PM9VE015,2021/9/22 00:00
PM9VE012,2021/9/22 00:00
PM9VE010,2021/9/22 00:00
PM9VE011,2021/9/22 00:00
PM2VE015,2021/9/22 00:00
PM9VJ001,2021/9/22 00:00
PM7VD009,2021/9/22 00:00
PM9VJ002,2021/9/22 00:00
PM9VJ003,2021/9/22 00:00
PM9VJ004,2021/9/22 00:00
PM9VJ005,2021/9/22 00:00
PM6VG011,2021/9/22 00:00
PM9VJ006,2021/9/22 00:00
PM9VJ007,2021/9/22 00:00
PM9VJ008,2021/9/22 00:00
PM9VJ009,2021/9/22 00:00
PM9VE009,2021/9/22 00:00
PM9VE007,2021/9/22 00:00
PM9VE008,2021/9/22 00:00
PM6VB010,2021/9/22 00:00
PM9VE005,2021/9/22 00:00
PM9VE006,2021/9/22 00:00
PM9VE003,2021/9/22 00:00
PM9VE004,2021/9/22 00:00
PM7VD003,2021/9/22 00:00
PM8VC008,2021/9/22 00:00
PM9VE001,2021/9/22 00:00
PM7VD002,2021/9/22 00:00
PM8VC009,2021/9/22 00:00
PM9VE002,2021/9/22 00:00
PM7VD001,2021/9/22 00:00
PM7VD005,2021/9/22 00:00
PM7VD004,2021/9/22 00:00
PM8VC010,2021/9/22 00:00
PM7VK006,2021/9/22 00:00
PM9VC017,2021/9/22 00:00
PM7VK005,2021/9/22 00:00
PM9VC016,2021/9/22 00:00
PM7VK004,2021/9/22 00:00
PM9VC019,2021/9/22 00:00
PM9VC018,2021/9/22 00:00
PM9VC013,2021/9/22 00:00
PM9VC012,2021/9/22 00:00
PM9VC015,2021/9/22 00:00
PM6VE011,2021/9/22 00:00
PM9VC014,2021/9/22 00:00
PM9VC011,2021/9/22 00:00
PM9VC010,2021/9/22 00:00
PM9VC009,2021/9/22 00:00
PM9VC006,2021/9/22 00:00
PM9VC005,2021/9/22 00:00
PM9VC008,2021/9/22 00:00
PM9VC007,2021/9/22 00:00
PM9VC002,2021/9/22 00:00
PM9VC001,2021/9/22 00:00
PM9VC004,2021/9/22 00:00
PM9VC003,2021/9/22 00:00
PM2VE008,2021/9/22 00:00
PM2VE009,2021/9/22 00:00
PM2VE004,2021/9/22 00:00
PM2VE005,2021/9/22 00:00
PM2VE006,2021/9/22 00:00
PM2VE007,2021/9/22 00:00
PM9VI020,2021/9/22 00:00
PM8VD002,2021/9/22 00:00
PM2VD002,2021/9/22 00:00
PM8VD005,2021/9/22 00:00
PM2VD001,2021/9/22 00:00
PM8VD006,2021/9/22 00:00
PM8VD007,2021/9/22 00:00
PM8VD008,2021/9/22 00:00
PM9VD007,2021/9/22 00:00
PM9VD006,2021/9/22 00:00
PM6VF006,2021/9/22 00:00
PM9VD009,2021/9/22 00:00
PM6VF005,2021/9/22 00:00
PM9VD008,2021/9/22 00:00
PM6VF004,2021/9/22 00:00
PM9VD003,2021/9/22 00:00
PM6VF003,2021/9/22 00:00
PM9VD002,2021/9/22 00:00
PM9VD005,2021/9/22 00:00
PM9VI019,2021/9/22 00:00
PM9VD004,2021/9/22 00:00
PM9VI018,2021/9/22 00:00
PM2VD006,2021/9/22 00:00
PM8VD009,2021/9/22 00:00
PM9VI017,2021/9/22 00:00
PM2VD005,2021/9/22 00:00
PM9VI016,2021/9/22 00:00
PM2VD004,2021/9/22 00:00
PM9VD001,2021/9/22 00:00
PM9VI015,2021/9/22 00:00
PM2VD003,2021/9/22 00:00
PM9VI014,2021/9/22 00:00
PM2VD009,2021/9/22 00:00
PM9VI011,2021/9/22 00:00
PM9VI010,2021/9/22 00:00
PM6VA009,2021/9/22 00:00
PM6VA008,2021/9/22 00:00
PM6VA005,2021/9/22 00:00
PM6VA004,2021/9/22 00:00
PM6VA007,2021/9/22 00:00
PM8VD010,2021/9/22 00:00
PM6VA006,2021/9/22 00:00
PM6VA001,2021/9/22 00:00
PM6VA003,2021/9/22 00:00
PM6VA002,2021/9/22 00:00
PM9VC021,2021/9/22 00:00
PM7VE012,2021/9/22 00:00
PM9VI002,2021/9/22 00:00
PM9VI001,2021/9/22 00:00
